Nombre,Link,Descripcion
Yo amo a Shakey,https://pluto.tv/latam/on-demand/movies/5f3fd896ad190c001a52e6da,"JT O’Neil, con su hija de 10 años, y su devoto perro Shakey se mudan a una pequeña ciudad de Chicago y al no leer la letra pequeña de su contrato de alquiler, JT se ve obligado a tratar de deshacerse de su perro."
Shelby,https://pluto.tv/latam/on-demand/movies/5fad4a7f8b78ef001aa27bcd,"Shelby es un perro sin dueño que tiene por costumbre fugarse de la perrera cada vez que tiene la oportunidad. Durante una de sus escapadas conoce a Jake, un niño que sueña con ser un gran mago, y se hacen amigos inseparables."
Chiguagua: el fantasma,https://pluto.tv/latam/on-demand/movies/62bcab10e9e8c00013709d5a,"Al heredar una antigua casa de vacaciones, los Fastener se dan cuenta que la perra de sus antepasados, Sophie los persigue. Homer, su golden retriever, se hace amigo de Sophie y descubre que ella solo está buscando una familia a la que amar"
Max salva al Mundo,https://pluto.tv/latam/on-demand/movies/60c8abd436537d0013320af4,Sean y su perro Max quieren ser detectives pero en su vecindario no sucede nada hasta que desaparece un diamante. Ahora tendrán que enfrentarse a un grupo de alienígenas que vienen al planeta con planes de quemar la Tierra.
"Benny , El Feo",https://pluto.tv/latam/on-demand/movies/62bf09238672a30013bd7ef8,"Es la historia de un perro sin buena apariencia, sus dueños no tenian idea de que hacer con el cachorro extraño. Pero su ternura logro que una familia lo adoptara y desde ese momento la vida de Benny ha cambiado totalmente."
Un amor hasta las patas,https://pluto.tv/latam/on-demand/movies/603e6222049634001a5f3418,"Su amiga Roxana decide conseguirle una cita a través de las redes sociales. El desastre de la cita la lleva a pedirle un deseo a un mágico ""gato de los deseos"": tener un novio tan tierno y comprensible como sus 2 adorables perros."
Mi Angel Guardián,https://pluto.tv/latam/on-demand/movies/60c8abc136537d0013320966,"Cooper, un perro, es el único sobreviviente de un terrible accidente automovilístico. Jake pierde a su esposa e hijos en el accidente. Jake es de enojo hacia el perro, pero este vinculo termina siendo lo unico que lo ayuda a seguir viviendo."
Amor por el Perro,https://pluto.tv/latam/on-demand/movies/5fda4095aabcdd001aaf4430,"Cuando una madre divorciada intenta iniciar una nueva relación, sus hijos y su perro comienzan a sabotear el romance. Tienen éxito, hasta que aparece un ex novio de la escuela."
"¿EI, Dónde está mi Perro?",https://pluto.tv/latam/on-demand/movies/5fda414b0dddaf0013b83734,"Un joven llamado Ray se queda en casa para cuidar al perro de la familia, Harry, para demostrarles a sus padres que no es, como dicen, ""irresponsable""."
El refugio,https://pluto.tv/latam/on-demand/movies/62ffebd0c24630001a8b226c,"La familia Davis es un desastre, pero un perro callejero logrará en poco tiempo restaurar su matrimonio, arreglar una relación padre-hijo deteriorada, alegrar la vida de un niño de 9 años y salvar a un niño muy pequeño."
Un equipo incomparable,https://pluto.tv/latam/on-demand/movies/62fe9e866df8ae001a0464ae,"Seeker, un perro que no puede oler, y Fetch, un cerdo casi ciego ayudan a mascotas perdidas a encontrar sus hogares."
De patitas a la calle,https://pluto.tv/latam/on-demand/movies/60e459453988a50013b7617f,"Una perra llamada Lasmi se perdió en la ciudad de Lima. Un grupo de patrulla canina la ayuda a encontrar a su familia. Pero un grupo de traficantes está secuestrando perros, por lo que deben descubrirlos y atraparlos."
K-9 Aventuras: Un Cuento de Navidad,https://pluto.tv/latam/on-demand/movies/61f2a44d04ff25001a4fe790,"Kassie, sus amigos y su perro, Scoot, organizan una recaudación de fondos para las fiestas, pero deben proteger el dinero de algunos ladrones para poder salvar la Navidad."
Smitty,https://pluto.tv/latam/on-demand/movies/60c8abbc36537d00133208f2,"Ben, un chico de trece años, lleva a cabo continuas travesuras que traen de cabeza a su madre, una mujer soltera que lucha cada día por intentar salir adelante sin una pareja que le ayude a tratar que el comportamiento de su hijo mejore."
La Mejor Amiga de Summer,https://pluto.tv/latam/on-demand/movies/60bf7276d782df0013ef296c,"El brillante e independiente Summer Larsen, de 12 años, rescata a un dulce perro callejero y no se detendrá ante nada para salvarlo. Y es su determinación lo que finalmente impacta a quienes la rodean."
El perrito Pudsey,https://pluto.tv/latam/on-demand/movies/5f7b86a0e4b56900138b713a,"En la ciudad de Londres Pudsey es feliz con su vida de perro callejero, pero un día su vida cambiará radicalmente. Molly, George y Tommy son tres hermanos que deciden acogerlo en la familia. Todo cambia tras la muerte de su padre."
El Sol de Medianoche,https://pluto.tv/latam/on-demand/movies/60bf7226d782df0013ef25df,"En las heladas tierras del norte de Canadá, el joven Luke desafiará los peligros de la naturaleza y la dura inclemencia del tiempo invernal para ayudar a un joven oso polar a que se reúna con su madre."
Una verdadera amistad,https://pluto.tv/latam/on-demand/movies/5fda409aaabcdd001aaf44a0,"Finn es un niño de 13 años que es acosado constantemente en la escuela, pero su vida comienza a cambiar el día que conoce a un labrador llamado Marshall, que vive en condiciones extremas y necesita atención médica."
Apex,https://pluto.tv/latam/on-demand/movies/66a7d1a62fca0600131c856a,"Cinco cazadores de élite pagan para cazar a un hombre en una isla desierta. Pero cuando su presa comienza a defenderse, los roles de cazadores y de la presa cambian de lado…"
La jugada maestra,https://pluto.tv/latam/on-demand/movies/62ffb0b3362313001aaa7ad0,"Ambientado durante la Guerra Fría, el campeón de ajedrez norteamericano Bobby Fischer se encuentra atrapado entre dos superpotencias y sus propias luchas mientras desafía al Imperio Soviético."
Un pasado imborrable,https://pluto.tv/latam/on-demand/movies/62cc54454f12bb00136640c9,"Un ex oficial del ejército británico, que fue torturado como prisionero de guerra durante la Segunda Guerra Mundial, descubre que el soldado japonés que tanto lo maltrató sigue vivo y se dispone a confrontarlo."
Scream 4,https://pluto.tv/latam/on-demand/movies/5f7b872be4b56900138b7983,"Con terapia y ayuda, la joven Sidney Prescott (Neve Campbell) ha conseguido dejar atrás todas las muertes que contempló años atrás en su pueblo natal, Woodsboro."
Lila y Eve,https://pluto.tv/latam/on-demand/movies/5e6ff36e4698db001ab3de55,"Lila y Eve dos madres destrozadas por el asesinato de sus hijos, unen fuerzas para vengarse de los traficantes de droga responsables de la muerte del hijo de Lila.Pero a medida que la violencia crece Lila empieza a descubrir la verdadera identidad de Eve."
Terminal,https://pluto.tv/latam/on-demand/movies/63aded948ba71d0013eafbf3,"En una oscura ciudad, dos sicarios intentan cumplir una escalofriante misión. Vince y Alfred tienen la instrucción de permanecer en un hotel hasta que alguien aparezca en una habitación en el edificio de enfrente; solo entonces deben de matarlo."
Diario de un seductor,https://pluto.tv/latam/on-demand/movies/5e6a42a7e2fa10001becd0f3,"Paul Kemp es un escritor norteamericano que ha empezado a trabajar como redactor para un periódico caribeño. Su nuevo ambiente, poco a poco, empieza a enrarecerse. Amor, envidia, celos y mucho alcohol son los principales ingredientes del relato."
