Nombre,Link,Descripcion
A Cada Quien su Santo,https://pluto.tv/latam/on-demand/series/66105c7d5483810014dcb3a9,"A Cada Quien su Santo es un programa ligero, esperanzador, divertido y familiar en el cual se abordarán historias con personajes que deciden encomendarse a su santo preferido en busca de ayuda."
Lo Que La Gente Cuenta,https://pluto.tv/latam/on-demand/series/65fd8ee2425c59001495e472,"La serie de misterio y espanto, relata leyendas populares escalofriantes que aterrorizan hasta los mas valientes. El programa cuenta estas historias en algunos lugares historicos en que se cuenta que sucedieron las leyendas."
Encrucijada,https://pluto.tv/latam/on-demand/series/65ce5ccfa3a8580013c4db1a,"Encrucijada es una serie de episodios independientes donde cada uno ficcionaliza un tema cotidiano, presentando a un protagonista que se encuentra en una encrucijada y debe tomar una decisión que alterará el curso de su vida."
Cumbres Borrascosas,https://pluto.tv/latam/on-demand/series/65ce5d04a3a8580013c4ec31,"Basada en la novela de Emily Brontë, Wuthering Heigts, cuenta la historia de un joven rebelde y salvaje que llega a La Borrasca para cambiar la vida de los propietarios, especialmente la de Catherine. Entre ellos nace un amor que va más allá de la muerte."
Incognita,https://pluto.tv/latam/on-demand/series/65ce5caca3a8580013c4cd6b,"Cuenta la historia de Alejandro, un escritor del periódico ""Mundo Latino"" que, a través de su columna ""Incógnita"", escribe sobre los acontecimientos importantes que ocurren en su país, convirtiéndola en la sección más esperada y leída por los lectores."
La Ronca de Oro,https://pluto.tv/latam/on-demand/series/65085ab0f64f180013e74d31,"Helena Vargas, queriendo ser libre en una época terriblemente machista, encontró en cantar rancheras una manera de expresar su profundo deseo, venciendo obstáculos de una sociedad prejuiciosa."
Ruta 35: La Valvula de Escape,https://pluto.tv/latam/on-demand/series/656dfff5b8262d0013225879,"La trama gira en torno a Dylan Wilkins, un agente federal. Wilkins presenta un caleidoscopio de hombres y mujeres que toman la crucial decisión de colaborar con la ley."
Linajes Malditos,https://pluto.tv/latam/on-demand/series/656dfbc41311360013a7949a,"Explora la parte oscura de la historia de familias prominentes, que a pesar de su aparente buena fortuna tuvieron que batallar con una especie de maldición de familia. ¿Tragedia o Maldición?"
La Bruja,https://pluto.tv/latam/on-demand/series/5edfffb76e0047001cb8742a,"Esta es la historia de dos personajes que influyen de manera contundente en el destino político a finales de la década de los setenta: Amanda Mora, una profesora que se inicia en la brujería y Jaime Cruz, el primer gran narcotraficante del país."
Sin retorno,https://pluto.tv/latam/on-demand/series/5f8f45777ecf48001a349c6c,"Sin Retorno, un instante que marca la vida para siempre, un comienzo del cual se desconoce el final. La serie está basada en hechos de crónica, en el titular de un periódico, en historias que han sucedido, en fragmentos de vida."
